node_1,node_2,edge,source
Energy Technology Patents,CO2 Emissions,"In the long-run, there is a significantly positive relationship between energy technology patents and CO2 emissions, indicating that an increase in energy technology patents does not reduce CO2 emissions. In the short-run, this relationship remains positive, suggesting that the increase in energy technology patents does not immediately contribute to CO2 emissions reduction.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
Energy Technology Patents,CO2 Emissions Intensity,"In the long-run, there is a significantly negative relationship between energy technology patents and CO2 emissions intensity, implying that an increase in energy technology patents helps to reduce CO2 emissions intensity. However, in the short-run, energy technology patents have a significantly positive effect on CO2 emissions intensity, indicating a challenge in reducing it immediately.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
Energy Technology Patents,GDP,"There is a negative relationship between energy technology patents and GDP in both long-run and short-run, suggesting that GDP has not effectively promoted energy technology patents, possibly due to a lack of innovation policies and slow patent approval processes.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
CO2 Emissions,GDP,"While there is a positive long-run relationship between CO2 emissions and GDP, indicating that economic growth has led to increased CO2 emissions, in the short-run, CO2 emissions have a significant negative influence on GDP, reflecting the potential economic impact of high emissions levels.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
Back,Tobin's Q,"Back has a positive effect on Tobin's Q in the CTEI case, indicating that a higher number of backward citations is associated with an increase in firm value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
For,Tobin's Q,"For has a negative effect on Tobin's Q in both CTEI and CPI cases, suggesting that an increase in forward citations is linked to a decrease in firm value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
High,Tobin's Q,"High has negative effects in the CTEI case but positive effects in the CPI case on Tobin's Q, showing a context-dependent relationship with firm value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
Claim,Tobin's Q,"Claim has a positive effect on Tobin's Q in the CTEI case, implying that a higher claim count is associated with an increase in firm value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
Scope,Tobin's Q,"Scope has no significant moderating effect on Tobin's Q in both CTEI and CPI cases, indicating no significant relationship with firm value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
Size,Tobin's Q,"Size has positive effects on Tobin's Q in both CTEI and CPI cases, suggesting that a larger patent family size is linked to an increase in firm value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
R&D Expenditures,Firm Performance,"R&D Expenditures have a long-term and stable positive relationship with Firm Performance, indicating that increased investment in R&D is associated with better economic outcomes for the firm.",Hysteresis effects of R&D expenditures and patents on firm performance: An empirical study of Hsinchu Science Park in Taiwan
Patents,Firm Performance,"Patents have a positive hysteresis effect on Firm Performance, meaning that the number of patents has a delayed positive impact on the economic success of the firm.",Hysteresis effects of R&D expenditures and patents on firm performance: An empirical study of Hsinchu Science Park in Taiwan
R&D Expenditures,Patents,"R&D Expenditures are positively related to the number of Patents, suggesting that higher R&D investments lead to an increase in the generation of patentable innovations.",Hysteresis effects of R&D expenditures and patents on firm performance: An empirical study of Hsinchu Science Park in Taiwan
